now that,"既然..., 由于..."
financially,adv. 金融上；财政上
mate,abbr. Materials Engineer 材料工程师
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
internship,"n. 实习医师的职务
[医] 实习医师职位, 实习医师期"
nonprofit, 非营利的
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
drift along,"随波逐流,混日子"
anticipate,"vt. 预期, 占先, 加速, 提前使用
[医] 提前出现, 先期发生"
move along,"继续向前或后移动, 往里走"
put aside,"na. “set aside”的变体
[网络] 储蓄；撇开；放在一边"
make one's way,"前进, 行进, 成功, 发迹"
delicate,"a. 细致优雅的, 微妙的, 美味的
[医] 柔弱的"
above all,"尤其是, 首先"
relieved,"a. 宽慰的, 解除的, 减轻的"
parenthood,n. 父母身分
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
[医] 焦虑"
appetite,"n. 食欲, 欲望, 爱好
[医] 食欲"
recession,"n. 后退, 凹处, 衰退, 归还
[医] 退缩"
calling,"n. 职业, 行业, 呼唤, 召集
[计] 呼叫"
shovel,"n. 铲, 铁铲
v. 铲"
back and forth,来回地
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
bud,[计] Quicken的备份磁盘
for the record,[经] 备案
atypical,"a. 非典型的
[医] 非典型的, 不标准的"
intersperse,"vt. 散布, 点缀"
myth,"n. 神话, 虚构的事, 虚构的人"
predictable,a. 可预言的
optional,"a. 可选择的, 随意的
[化] 选购的"
psychologist,"n. 心理学家
[医] 心理学家"
prolong,"vt. 延长, 拖延, 拖长
[化] 冷凝管"
maturity,"n. 成熟, 完备, 到期
[医] 成熟, 成熟期, 发育期"
organism,"n. 生物, 有机体, 社会组织
[医] 生物[体],[有]机体"
sexual,[网络]  - 性别
sexually,adv. 性别地；两性之间地
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
[计] 展开; DOS外部命令:将原始DOS磁盘上的压缩文件解压缩并拷贝到硬盘上"
transitory,"a. 暂时的, 短暂的, 昙花一现的
[法] 临时性诉讼, 可选择管辖区的诉讼; 临时的, 过渡的"
establishment,[网络] 现存权力机构；建立期；立业期
institutionalize,"vt. 使制度化, 使成为惯常的行为, 使一成不变, 把...送进疯人院"
correspond,"vi. 符合, 通信, 相当
[法] 符合, 一致, 相当"
correspond with,"符合, 一致, 通信"
neuroscientist, [医]神经科学家：神经科学各分支的专家
modification,n. 修改，修正；改变
criterion,"n. 标准, 准则, 规范
[化] 判据"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
[计] 秩"
legislate,"vi. 制定法律
vt. 用立法规定"
norm,"n. 基准, 模范, 标准, 准则, 平均数
[化] 定额"
bearing,"n. [机] 轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
have little bearing on,无
have some bearing on,无
impressionist,"n. 印象主义者, 印象派作家"
blurry,"a. 模糊的, 不清楚的, 污脏的"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
[计] 笔划"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
kick out,"na. 踢出；解雇；踢足球出界
[网络] 逐出；把球踢出界；开除"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
versus,"prep. 对...
[法] 诉, 对, 相形"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
under attack,[法] 受到攻击
virtually,adv. 事实上
extensive,"a. 广的, 广泛的, 多方面的
[经] 广大的, 扩大的"
mobility,"n. 可动性, 流动性, 机动性
[化] 迁移率"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
sociologist,"n. 社会学家
[法] 社会学家"
emperor,"n. 皇帝, 君主"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
legislator,"n. 立法者, 立法官, 立法委员
[法] 立法者, 立法机关成员, 立法委员"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
[网络] 提前；推荐；表提出"
problematic,"a. 成问题的, 未定的, 疑难的, 有疑问的, 盖然性的, 或然性的"
synergy,"n. 协同作用
[医] 协同, 协作, 增效, 协作(指药物)"
cohabit,vi. 同居（尤指未婚而同居者）
chore,[网络] 岸边
Go,[网络] 困觉；绿基色输出；格拉苏蒂
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
[计] 发自"
originate in," 归因于…, 产生于…; 起源"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
worldwide, 全球的
take turns,"轮流, 依次"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
[经] (推销员等的)推销区域"
intuition,"n. 直觉, 直觉的知识"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
imagination,[网络] 想象
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
googol,n. 巨大的数字
artificial,"a. 人造的, 假的, 非原地产的
[医] 人工的, 人造的, 伟牟"
intelligence,[网络] 智力；理解力；智能
invent,"vt. 发明, 创作, 虚构
[机] 发明"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
best,"adv. 最；最高程度地；最出色地；最高标准地
adj. 最好的；最出色的；最优秀的；最愉快的
n. 最好的事物（或人）；（人或事物所能达到的）最高标准
v. 胜过；打败
[网络] 最佳；贝斯特；倍思特"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
[计] 写后读"
input,"n. 投入；输入电路
vt. [自][电子] 输入；将…输入电脑"
to date,迄今为止
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
[计] TOP协议"
intellect,"n. 智力, 出众的才华, 知识分子
[医] 智力, 才智"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
[医] 神经的"
process,[网络] 过程；流程；进程
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
[计] 层"
connection,"n. 连接, 关系, 前后关系
[计] 连接"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
[计] 选定"
get the better of,"战胜, 在...中占上风"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
strategy,"n. 战略, 策略
[经] 战略, 策略"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
trial-and-error,反复试验
extensive,"a. 广的, 广泛的, 多方面的
[经] 广大的, 扩大的"
put ... to the test,"na. 试验
[网络] 检验；使受检验；使受试验"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
forefront,n. 最前线，最前部；最活动的中心
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
reigning champion, [体]本届冠军
thrilled,"a. 非常兴奋的; 极为激动的
vt. “thrill”的过去式和过去分词"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
analysis,"n. 分析
[计] 分析机; 分析员; 分析; 分析程序"
accelerate,"v. 加速, 促进"
home in on,(飞机、飞行员)导向(或飞向)(某地)；(导弹)自动追踪(目标)；移向，导向；把注意力集中于
fruitful,"a. 结果实的, 多实的, 产量多的"
breakthrough,"突围, 突破
[计] 断缺"
wristband, [医]袖口
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
in advance,"预先
[经] 预先"
reservation,"n. 保留, 预定, 保留品, 保留地
[经] 预定, 预约, 权益保留"
hostess,"n. 女主人, 女房东, 女老板"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
cafeteria,"n. 自助餐厅
[经] 自助餐厅"
flit,"n. 掠过, 迁徙
vi. 掠过, 迁徙"
resemble,"vt. 相似, 类似"
tech-studded,无
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
[计] 传送"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
[计] 修改"
inbound,"n. 发界外球
[网络] 拨入；入口；镇内"
queue up,排队等候
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
triangulate,"vt. 把...分成三角形, 作三角测量, 使...成三角形
a. 三角形的, 由三角形组成的, 有三角斑纹的"
seamlessly,adv. 无空隙地; 无停顿地
RFID,abbr. 无线射频识别（radio frequency identification devices）
chip,[网络] 新电脑；中游晶粒切割；金属切削加工过程中切屑
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
sign up,"签约参加工作, 签约雇用"
touch down,"攻方持球触地得分, (飞机着陆过程中)触地"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
check into, 到达并在…登记; 调查
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
[计] 标记"
hand over,交出；移交
opt in,决定参加
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
[计] 流"
real-time,"[计] 实时
[经] 实时"
data,"pl. 资料, 数据
[计] 数据; DOS内部命令:用于显示或设定系统的日期"
dilemma,"n. 困境, (进退两难的)窘境"
agenda,"pl. 议程, 日常工作事项
[计] 待议事件"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
plan out,"na. 计划出
[网络] 筹划；做出计划；策划"
apt,[医] 明矾沉淀类毒素
be apt to do sth.,"易于(做)..., 倾向于(做)..., 善于(做)..."
optimize,"vt. 使完美, 使完善, 充分利用, 乐观地对待, 优化
vi. 持乐观态度
[计] 优化"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
interaction,"un. (美国)《相互影响》月刊
[网络] 互动；作用；动作补间"
transaction,"n. 交易, 办理, 学报, 和解协议
[计] 事务处理"
pinpoint,"n. 针尖；极尖的顶端；极小的东西；琐事
v. 极精确地测定[瞄准,轰炸]；指出；确认
adj. 微小的；极准确的
[网络] 针点；针尖镇；针点内含物"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
candid,"a. 坦白的, 率直的, 公正的"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
coupon,"n. 息票, 赠券
[经] 息票, 利息单, 联票"
autonomous,"a. 自治的
[医] 自主的"
drone,"n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)
vi. 嗡嗡作声, 混日子
vt. 低沉地说"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
quadcopter,[网络] 四轴飞行器；航拍多轴飞行器
propeller,"n. 螺旋桨, 推进器
[化] 搅拌叶片; 螺旋桨"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
vertically,adv. 垂直地
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
[计] 媒体, 中"
fail-safe,有故障安全装置
commercialization,[计] 商业化
regulate,"vt. 管理, 控制, 调节, 调整, 校准
[经] 控制, 管理"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
responder,"n. 回答者, 响应者, 响应器, 应答机
[计] 响应站, 应答机"
ambulance,"n. 救护车
[医] 救护车"
functional,"a. 功能的
[医] 机能的, 功能的, 官能的"
CES,[网络] 电子展；消费电子展；美国电子消费展
regulator,"n. 调整者, 校准者, 校准器, 调整器, 标准钟
[化] 调节剂; 调节器"
consumer,"n. 消费者
[经] 消费者, 用户"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
[计] 远程, 远程访问实用程序"
valuation,"n. 评价, 估价, 价值判断
[经] 估价, 计价, 评价"
nightmare,梦魇
chemical,"n. 化学药品
a. 化学的, 化学上用的"
site,"n. 网站；站点；现场；位置
v. 使坐落在；为…选址
[网络] 场所；地点；场地"
responsible,"a. 有责任的, 负责的, 责任重大的
[法] 应负责任的, 有责任的, 能履行责任的"
spurn,"n. 踢开, 拒斥
vt. 踢开, 冷落, 践踏, 唾弃
vi. 藐视, 摒弃"
politician,"n. 政客, 政治家, 从事党派政治的人
[法] 政客, 政治家"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
reach out to,[网络] 接触；把手伸向；联系
latter,"a. 后者的, 较后的, 近来的"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
exclusive,"a. 排外的, 独占的, 唯一的
[计] 独占的"
nevertheless,"仍然
尽管如此"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
landfill,土地填筑
name after, 以…的名字起名
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
[计] 绘制"
creek,"n. 小溪, 小河, 小湾"
deranged,"a. 精神错乱的, 疯狂的"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
file,[网络] 文件；提取码；文件操作
federal,"a. 联邦的, 联合的, 同盟的
[法] 联邦的, 联邦制的, 联盟的"
in response,作为回答
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
culprit,"n. 犯人, 罪犯, 刑事被告
[法] 犯罪者, 犯人, 罪犯"
nutrition,"n. 营养, 营养学
[医] 营养, 营养品"
inadequate,"a. 不充分的, 不适当的
[法] 不充分的, 不适当的"
stumble upon,偶然发现
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
[化] 物质"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
[计] 引用"
documentation,"n. (总称)文件
[计] 文件编制, 文档"
unorganized,adj. 无组织的，无条理的；未加入工会的
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
[计] 文档"
in all,"总共
[经] 合计, 全部"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
classify,"vt. 分类, 归类, 分等
[建] 分类, 分级, 分粒"
hazardous,"a. 危险的, 冒险的, 碰运气的
[法] 危险的, 冒险的, 碰运气的"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
[经] 建议书"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
facility,"n. 容易, 灵巧, 设备
[计] 设施; 设备; 装备"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
disclose,"vt. 揭露, 透露
[法] 揭发, 揭露, 公开"
cancerous,"a. 癌的, 似癌的, 生癌的
[医] 癌性的"
tumor,"n. 肿大, 肿块, 瘤, 赘生物, 肿瘤
[医] 瘤; 肿胀, 肿块"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
profit,[网络] 专家型；宝发实业有限公司
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
contingency,"n. 偶然性, 可能性, 意外事故
[经] 意外事故, 意外开支, 偶然事故"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
[计] 草稿"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
[经] 控制, 管理"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
deny,"v. 否认, 拒绝"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
[医] 居住区; 沉渣"
accuse ... of,"un. 控告
[网络] 指责；指控；因某事控告某人"
conceal,"vt. 隐藏, 掩盖, 隐瞒
[法] 隐瞒, 隐匿, 保守秘密"
toxicity,"n. 毒性
[医] 毒力, 毒性"
toxic,"a. 有毒的, 中毒的
[医] 中毒的, 毒物的"
in violation,[网络] 达标
in violation of,违反
lawsuit,[经] 向法院提出的诉讼
on behalf of,"代表...
[经] 代表"
taint,=it ain't
as of,"在…时候,从…时候起,到…时候止,直到…"
plaintiff,"n. 原告, 起诉人
[经] 原告, 原起诉人"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
unrelenting,"a. 不怜悯的, 无情的, 冷酷的"
definition,"n. 定义, 精确度, 清晰度
[计] 清晰度; 清晰度"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
conventional,"a. 传统的, 习惯的, 约定的
[经] 惯例的, 常规的, 传统的"
mindset,n. 心态；倾向；习惯；精神状态
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
anomaly,"n. 不规则, 反常事物, 畸形
[医] 异常, 反常"
wherein,"adv. 在哪方面, 在那方面"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
shin,"n. 胫骨
v. 攀, 爬"
amputate,"vt. 切断, 删除"
amputee,"n. 被截肢者
[医] 切肢者"
wheelchair,n. 轮椅
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
limitation,[网络] 局限性
participate in,"参加, 参与, 分享"
softball,容易处理的事情
disability,"n. 无力, 无能, 残疾
[医] 劳动能力丧失, 病废"
athlete,"n. 运动员, 运动选手
[医] 运动员"
shock-absorbent,[网络] 吸震的；鞋业进入吸震
deter,"vt. 制止, 吓住, 威慑"
compete,"vi. 竞争, 对抗"
track and field,a. 田径运动的
sprint,"n. 短距离赛跑
vi. 全速跑, 冲刺
vt. 全速跑过"
consequently,adv. 所以
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
bravery,n. 勇敢
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
distinction,n. 区别
boxed-in, [体]运动员被夹在人群中
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
excel in,在...方面擅长
prestigious,a. 享有声望的
clearance,"n. 清除, 间隙
[化] 间隙; 空隙"
diplomacy,"n. 外交, 外交手腕, 交际手段
[法] 外交, 外交手腕, 权谋"
set one's sights towards,无
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
cheetah,n. 猎豹
runway,"n. 跑道, 河床, 过道
[化] 单轨架空道; 吊车道"
prosthetic,"a. 修复术的, 弥补性的, 非朊基的
[医] 修复的, 假体的"
the talk of the town,"街谈巷议的话题,传得满城风雨"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
[法] 慈善的, 慷慨的, 宽恕的"
motivational,"a. 激发性的
[法] 动机说明, 引起动机, 动机的形成"
co-found,"v. 共同创立
[网络] 共同创办"
excellence,"n. 优秀, 卓越, 优点"
aid,comb.form [多用以构成专有名词]表示“…的慈善机构”，“为…募捐”：Ferry-aid
lrish,无
gutsy,"a. 有勇气的, 有力量的"
icon,"n. 画像, 肖像, 偶像, 图标, 像标
[计] 像标, 图标"
in the making,"在形成中,在酝酿中"
redefine,vt. 重新定义
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
unbridled,"a. 无缰辔的, 不受控制的, 无拘束的"
gorgeous,"a. 华丽的, 灿烂的"
inside and out,在里面和外面；里里外外；彻底地
hold back,"na. 阻止；踌躇；隐瞒；抑制
[网络] 退缩；控制；退缩不前"
in the depth of,在…的深处；在极端…中
in the depths of,在…的深处
reforest,vt. 重新造林
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
[计] 保贸, 保持"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
[计] 停止"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
prefecture,"n. 地方长官的职位(或辖区), 县
[法] 县长的职权, 地方长官的职权"
committed,"a. 献身于某种事业的
[计] 委托的"
desertification,"n. （土壤）荒漠化, 沙漠化"
fervor,"n. 热情, 热心, 炽热"
sapling,"n. 树苗, 小树"
mm,"abbr. 毫米
n. 毫米
int. 嗯；唔；表示食物非常好吃时发出的声音
[网络] 直径；长宽高；内径"
millimeter,[网络] 公厘
species,"n. 种, 类, 外形
[医] 茶剂; 种"
withstand,"vt. 抵住, 顶住, 经得起"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
forestry,"n. 林学, 森林地
[法] 林地, 林学, 林业"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
take root,"生根, 扎根"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
tremendously,adv. 极大地; 极端地; 极其; 非常
overgraze,"vi. 过度放牧
vt. 在…上过度放牧"
determined,"adj. 决定了的；坚决的
v. 决定；断定（determine的过去分词）"
